item_name,wav_path,wav_fn,language,singer,song_name,group_name,mix,falsetto,breathy,vibrato,glissando,pharyngeal,any_tech,mix_variant,label_signature,binary_role,increment_repeat_index,increment_repeat_count,mined_mix_prob,mined_device,mined_selection_role,mined_rank,mined_pool_size
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#不能说的秘密#Falsetto_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\不能说的秘密\Falsetto_Group\0004.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/不能说的秘密/Falsetto_Group/0004.wav,Chinese,ZH-Tenor-1,不能说的秘密,Falsetto_Group,1,1,0,0,1,0,1,head_mix,110010,positive_mix,,,0.025928,cuda,hard_positive,1,36
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#年轮#Falsetto_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\年轮\Falsetto_Group\0000.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/年轮/Falsetto_Group/0000.wav,Chinese,ZH-Alto-1,年轮,Falsetto_Group,1,1,0,0,1,0,1,head_mix,110010,positive_mix,,,0.036558,cuda,hard_positive,2,36
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#青花瓷#Falsetto_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\青花瓷\Falsetto_Group\0003.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/青花瓷/Falsetto_Group/0003.wav,Chinese,ZH-Tenor-1,青花瓷,Falsetto_Group,1,1,0,0,1,0,1,head_mix,110010,positive_mix,,,0.047450,cuda,hard_positive,3,36
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#讲真的#Falsetto_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\讲真的\Falsetto_Group\0004.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/讲真的/Falsetto_Group/0004.wav,Chinese,ZH-Tenor-1,讲真的,Falsetto_Group,1,1,0,0,1,0,1,head_mix,110010,positive_mix,,,0.074805,cuda,hard_positive,4,36
Chinese#ZH-Alto-1#Glissando#彩虹#Control_Group#0010,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Glissando\彩虹\Control_Group\0010.wav,Chinese/ZH-Alto-1/Glissando/彩虹/Control_Group/0010.wav,Chinese,ZH-Alto-1,彩虹,Control_Group,1,0,0,0,0,0,1,clear_mix,100000,positive_mix,,,0.075680,cuda,hard_positive,5,36
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#可惜没如果#Falsetto_Group#0026,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\可惜没如果\Falsetto_Group\0026.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/可惜没如果/Falsetto_Group/0026.wav,Chinese,ZH-Alto-1,可惜没如果,Falsetto_Group,1,1,1,0,1,0,1,breathy_mix,111010,positive_mix,,,0.079979,cuda,hard_positive,6,36
Chinese#ZH-Tenor-1#Pharyngeal#亲爱的那不是爱情#Pharyngeal_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Pharyngeal\亲爱的那不是爱情\Pharyngeal_Group\0001.wav,Chinese/ZH-Tenor-1/Pharyngeal/亲爱的那不是爱情/Pharyngeal_Group/0001.wav,Chinese,ZH-Tenor-1,亲爱的那不是爱情,Pharyngeal_Group,1,1,0,0,1,1,1,head_mix,110011,positive_mix,,,0.080908,cuda,hard_positive,7,36
English#EN-Alto-1#Breathy#let it go#Breathy_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Breathy\let it go\Breathy_Group\0006.wav,English/EN-Alto-1/Breathy/let it go/Breathy_Group/0006.wav,English,EN-Alto-1,let it go,Breathy_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,1,1,0.084772,cuda,hard_positive,8,36
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#一次就好#Falsetto_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\一次就好\Falsetto_Group\0003.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/一次就好/Falsetto_Group/0003.wav,Chinese,ZH-Alto-1,一次就好,Falsetto_Group,1,1,0,0,1,0,1,head_mix,110010,positive_mix,,,0.092144,cuda,hard_positive,9,36
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#鸽子#Falsetto_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\鸽子\Falsetto_Group\0001.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/鸽子/Falsetto_Group/0001.wav,Chinese,ZH-Alto-1,鸽子,Falsetto_Group,1,1,0,0,1,0,1,head_mix,110010,positive_mix,,,0.107653,cuda,hard_positive,10,36
