item_name,wav_path,wav_fn,language,singer,song_name,group_name,mix,falsetto,breathy,vibrato,glissando,pharyngeal,any_tech,mix_variant,label_signature,binary_role,mined_mix_prob,mined_device,mined_selection_role,mined_rank,mined_pool_size
Chinese#ZH-Tenor-1#Breathy#化身孤岛的鲸#Control_Group#0023,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Breathy\化身孤岛的鲸\Control_Group\0023.wav,Chinese/ZH-Tenor-1/Breathy/化身孤岛的鲸/Control_Group/0023.wav,Chinese,ZH-Tenor-1,化身孤岛的鲸,Control_Group,0,1,0,0,1,0,1,non_mix,010010,control_negative,0.843655,cuda,hard_negative,1,24
Chinese#ZH-Tenor-1#Breathy#会呼吸的痛#Control_Group#0014,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Breathy\会呼吸的痛\Control_Group\0014.wav,Chinese/ZH-Tenor-1/Breathy/会呼吸的痛/Control_Group/0014.wav,Chinese,ZH-Tenor-1,会呼吸的痛,Control_Group,0,1,0,0,1,0,1,non_mix,010010,control_negative,0.832491,cuda,hard_negative,2,24
Chinese#ZH-Tenor-1#Breathy#会呼吸的痛#Control_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Breathy\会呼吸的痛\Control_Group\0005.wav,Chinese/ZH-Tenor-1/Breathy/会呼吸的痛/Control_Group/0005.wav,Chinese,ZH-Tenor-1,会呼吸的痛,Control_Group,0,1,0,0,1,0,1,non_mix,010010,control_negative,0.788703,cuda,hard_negative,3,24
Chinese#ZH-Tenor-1#Breathy#如果爱忘了#Control_Group#0009,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Breathy\如果爱忘了\Control_Group\0009.wav,Chinese/ZH-Tenor-1/Breathy/如果爱忘了/Control_Group/0009.wav,Chinese,ZH-Tenor-1,如果爱忘了,Control_Group,0,0,0,1,1,0,1,non_mix,000110,control_negative,0.785903,cuda,hard_negative,4,24
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#可乐#Control_Group#0015,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\可乐\Control_Group\0015.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/可乐/Control_Group/0015.wav,Chinese,ZH-Alto-1,可乐,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.754165,cuda,hard_negative,5,24
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#贝加尔湖畔#Control_Group#0011,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\贝加尔湖畔\Control_Group\0011.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/贝加尔湖畔/Control_Group/0011.wav,Chinese,ZH-Alto-1,贝加尔湖畔,Control_Group,0,0,0,1,1,0,1,non_mix,000110,control_negative,0.753497,cuda,hard_negative,6,24
Chinese#ZH-Tenor-1#Vibrato#如果爱忘了#Control_Group#0013,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Vibrato\如果爱忘了\Control_Group\0013.wav,Chinese/ZH-Tenor-1/Vibrato/如果爱忘了/Control_Group/0013.wav,Chinese,ZH-Tenor-1,如果爱忘了,Control_Group,0,1,0,0,1,0,1,non_mix,010010,control_negative,0.739471,cuda,hard_negative,7,24
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#修炼爱情#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\修炼爱情\Control_Group\0002.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/修炼爱情/Control_Group/0002.wav,Chinese,ZH-Tenor-1,修炼爱情,Control_Group,0,1,0,0,1,0,1,non_mix,010010,control_negative,0.720819,cuda,hard_negative,8,24
Chinese#ZH-Tenor-1#Breathy#给电影人的情书#Control_Group#0019,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Breathy\给电影人的情书\Control_Group\0019.wav,Chinese/ZH-Tenor-1/Breathy/给电影人的情书/Control_Group/0019.wav,Chinese,ZH-Tenor-1,给电影人的情书,Control_Group,0,0,0,1,1,0,1,non_mix,000110,control_negative,0.711612,cuda,hard_negative,9,24
Chinese#ZH-Alto-1#Pharyngeal#大鱼#Control_Group#0010,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\大鱼\Control_Group\0010.wav,Chinese/ZH-Alto-1/Pharyngeal/大鱼/Control_Group/0010.wav,Chinese,ZH-Alto-1,大鱼,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.662849,cuda,hard_negative,10,24
