item_name,wav_path,wav_fn,language,singer,song_name,group_name,mix,falsetto,breathy,vibrato,glissando,pharyngeal,any_tech,mix_variant,label_signature,binary_role,increment_repeat_index,increment_repeat_count,mined_mix_prob,mined_device,mined_selection_role,mined_rank,mined_pool_size
English#EN-Alto-1#Mixed_Voice_and_Falsetto#let it go#Control_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\let it go\Control_Group\0005.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/let it go/Control_Group/0005.wav,English,EN-Alto-1,let it go,Control_Group,0,0,0,0,0,0,0,non_mix,000000,control_negative,1,1,0.878255,cuda,hard_negative,1,36
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#可乐#Control_Group#0015,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\可乐\Control_Group\0015.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/可乐/Control_Group/0015.wav,Chinese,ZH-Alto-1,可乐,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,,,0.877950,cuda,hard_negative,2,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#la vie en rose#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\la vie en rose\Control_Group\0002.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/la vie en rose/Control_Group/0002.wav,English,EN-Alto-1,la vie en rose,Control_Group,0,0,0,0,0,0,0,non_mix,000000,control_negative,1,1,0.877688,cuda,hard_negative,3,36
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#曹操#Falsetto_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\曹操\Falsetto_Group\0002.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/曹操/Falsetto_Group/0002.wav,Chinese,ZH-Tenor-1,曹操,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,,,0.861163,cuda,hard_negative,4,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#how does a moment last forever#Control_Group#0010,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\how does a moment last forever\Control_Group\0010.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/how does a moment last forever/Control_Group/0010.wav,English,EN-Alto-1,how does a moment last forever,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,1,1,0.857235,cuda,hard_negative,5,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#let it go#Control_Group#0017,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\let it go\Control_Group\0017.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/let it go/Control_Group/0017.wav,English,EN-Alto-1,let it go,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,1,1,0.845801,cuda,hard_negative,6,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#you raise me up#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\you raise me up\Control_Group\0000.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/you raise me up/Control_Group/0000.wav,English,EN-Alto-1,you raise me up,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,1,1,0.838658,cuda,hard_negative,7,36
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#可乐#Control_Group#0014,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\可乐\Control_Group\0014.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/可乐/Control_Group/0014.wav,Chinese,ZH-Alto-1,可乐,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,,,0.823046,cuda,hard_negative,8,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#yesterday once more#Control_Group#0018,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\yesterday once more\Control_Group\0018.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/yesterday once more/Control_Group/0018.wav,English,EN-Alto-1,yesterday once more,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,1,1,0.819678,cuda,hard_negative,9,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#how does a moment last forever#Control_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\how does a moment last forever\Control_Group\0003.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/how does a moment last forever/Control_Group/0003.wav,English,EN-Alto-1,how does a moment last forever,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,1,1,0.809849,cuda,hard_negative,10,36
