item_name,singer,song_name,group_name,binary_role,mix_variant,mix_prob,fp_margin
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Fly Me to the Moon#Falsetto_Group#0000,EN-Alto-2,Fly Me to the Moon,Falsetto_Group,falsetto_group,non_mix,0.999157,0.599157
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Me Like You Do#Falsetto_Group#0002,EN-Alto-2,Love Me Like You Do,Falsetto_Group,falsetto_group,non_mix,0.999098,0.599098
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Me Like You Do#Control_Group#0002,EN-Alto-2,Love Me Like You Do,Control_Group,control_negative,non_mix,0.998981,0.598981
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Young And Beautiful#Control_Group#0004,EN-Alto-2,Young And Beautiful,Control_Group,control_negative,non_mix,0.998845,0.598845
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Me Like You Do#Falsetto_Group#0000,EN-Alto-2,Love Me Like You Do,Falsetto_Group,falsetto_group,non_mix,0.99882,0.59882
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Young And Beautiful#Control_Group#0003,EN-Alto-2,Young And Beautiful,Control_Group,control_negative,non_mix,0.998799,0.598799
English#EN-Alto-2#Mixed_Voice_and_Falsetto#You Raise Me Up#Falsetto_Group#0000,EN-Alto-2,You Raise Me Up,Falsetto_Group,falsetto_group,non_mix,0.998365,0.598365
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Dream It Possible#Control_Group#0002,EN-Alto-2,Dream It Possible,Control_Group,control_negative,non_mix,0.998333,0.598333
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Story#Control_Group#0000,EN-Alto-2,Love Story,Control_Group,control_negative,non_mix,0.998076,0.598076
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Dream It Possible#Falsetto_Group#0003,EN-Alto-2,Dream It Possible,Falsetto_Group,falsetto_group,non_mix,0.998013,0.598013
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Story#Falsetto_Group#0000,EN-Alto-2,Love Story,Falsetto_Group,falsetto_group,non_mix,0.997914,0.597914
English#EN-Alto-2#Mixed_Voice_and_Falsetto#God is A Girl#Control_Group#0000,EN-Alto-2,God is A Girl,Control_Group,control_negative,non_mix,0.9979,0.5979
English#EN-Alto-2#Mixed_Voice_and_Falsetto#This Is Me#Falsetto_Group#0002,EN-Alto-2,This Is Me,Falsetto_Group,falsetto_group,non_mix,0.997704,0.597704
English#EN-Alto-2#Mixed_Voice_and_Falsetto#A Thousand Years#Falsetto_Group#0006,EN-Alto-2,A Thousand Years,Falsetto_Group,falsetto_group,non_mix,0.997526,0.597526
English#EN-Alto-2#Mixed_Voice_and_Falsetto#YOUTH#Falsetto_Group#0001,EN-Alto-2,YOUTH,Falsetto_Group,falsetto_group,non_mix,0.997513,0.597513
English#EN-Alto-2#Mixed_Voice_and_Falsetto#This Is Me#Falsetto_Group#0001,EN-Alto-2,This Is Me,Falsetto_Group,falsetto_group,non_mix,0.997371,0.597371
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hello#Control_Group#0004,EN-Alto-2,Hello,Control_Group,control_negative,non_mix,0.997354,0.597354
English#EN-Alto-2#Mixed_Voice_and_Falsetto#This Is Me#Falsetto_Group#0005,EN-Alto-2,This Is Me,Falsetto_Group,falsetto_group,non_mix,0.997233,0.597233
English#EN-Alto-2#Mixed_Voice_and_Falsetto#You Raise Me Up#Control_Group#0002,EN-Alto-2,You Raise Me Up,Control_Group,control_negative,non_mix,0.997218,0.597218
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Fly Me to the Moon#Falsetto_Group#0003,EN-Alto-2,Fly Me to the Moon,Falsetto_Group,falsetto_group,non_mix,0.997194,0.597194
English#EN-Alto-2#Mixed_Voice_and_Falsetto#This Is Me#Control_Group#0000,EN-Alto-2,This Is Me,Control_Group,control_negative,non_mix,0.997162,0.597162
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Story#Control_Group#0003,EN-Alto-2,Love Story,Control_Group,control_negative,non_mix,0.996857,0.596857
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Lemon Tree#Falsetto_Group#0002,EN-Alto-2,Lemon Tree,Falsetto_Group,falsetto_group,non_mix,0.996781,0.596781
English#EN-Alto-2#Mixed_Voice_and_Falsetto#My Heart Will Go On#Control_Group#0008,EN-Alto-2,My Heart Will Go On,Control_Group,control_negative,non_mix,0.99673,0.59673
English#EN-Alto-2#Pharyngeal#My Heart Will Go On#Pharyngeal_Group#0008,EN-Alto-2,My Heart Will Go On,Pharyngeal_Group,other_negative,non_mix,0.99673,0.59673
English#EN-Alto-2#Mixed_Voice_and_Falsetto#City Of Stars#Control_Group#0010,EN-Alto-2,City Of Stars,Control_Group,control_negative,non_mix,0.996696,0.596696
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Young And Beautiful#Control_Group#0001,EN-Alto-2,Young And Beautiful,Control_Group,control_negative,non_mix,0.996632,0.596632
English#EN-Alto-2#Mixed_Voice_and_Falsetto#My Heart Will Go On#Control_Group#0002,EN-Alto-2,My Heart Will Go On,Control_Group,control_negative,non_mix,0.996597,0.596597
English#EN-Alto-2#Mixed_Voice_and_Falsetto#All of Me#Falsetto_Group#0009,EN-Alto-2,All of Me,Falsetto_Group,falsetto_group,non_mix,0.996595,0.596595
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Easy On Me#Control_Group#0001,EN-Alto-2,Easy On Me,Control_Group,control_negative,non_mix,0.996475,0.596475
English#EN-Alto-2#Mixed_Voice_and_Falsetto#All of Me#Falsetto_Group#0002,EN-Alto-2,All of Me,Falsetto_Group,falsetto_group,non_mix,0.996459,0.596459
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hey Jude#Control_Group#0002,EN-Alto-2,Hey Jude,Control_Group,control_negative,non_mix,0.996252,0.596252
English#EN-Alto-2#Mixed_Voice_and_Falsetto#YOUTH#Falsetto_Group#0004,EN-Alto-2,YOUTH,Falsetto_Group,falsetto_group,non_mix,0.99616,0.59616
English#EN-Alto-2#Mixed_Voice_and_Falsetto#God is A Girl#Falsetto_Group#0003,EN-Alto-2,God is A Girl,Falsetto_Group,falsetto_group,non_mix,0.996132,0.596132
English#EN-Alto-2#Mixed_Voice_and_Falsetto#A Thousand Years#Falsetto_Group#0005,EN-Alto-2,A Thousand Years,Falsetto_Group,falsetto_group,non_mix,0.99612,0.59612
English#EN-Alto-2#Mixed_Voice_and_Falsetto#God is A Girl#Falsetto_Group#0007,EN-Alto-2,God is A Girl,Falsetto_Group,falsetto_group,non_mix,0.996079,0.596079
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Fly Me to the Moon#Falsetto_Group#0004,EN-Alto-2,Fly Me to the Moon,Falsetto_Group,falsetto_group,non_mix,0.996023,0.596023
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Safe and Sound#Control_Group#0002,EN-Alto-2,Safe and Sound,Control_Group,control_negative,non_mix,0.996018,0.596018
